vin,iout
0,6.42E-06
0.001,6.42E-06
0.002,6.42E-06
0.003,6.42E-06
0.004,6.42E-06
0.005,6.42E-06
0.006,6.42E-06
0.007,6.42E-06
0.008,6.42E-06
0.009,6.42E-06
0.01,6.42E-06
0.011,6.42E-06
0.012,6.42E-06
0.013,6.41E-06
0.014,6.41E-06
0.015,6.41E-06
0.016,6.41E-06
0.017,6.41E-06
0.018,6.41E-06
0.019,6.41E-06
0.02,6.41E-06
0.021,6.41E-06
0.022,6.41E-06
0.023,6.41E-06
0.024,6.41E-06
0.025,6.41E-06
0.026,6.41E-06
0.027,6.41E-06
0.028,6.41E-06
0.029,6.41E-06
0.03,6.41E-06
0.031,6.41E-06
0.032,6.41E-06
0.033,6.41E-06
0.034,6.41E-06
0.035,6.41E-06
0.036,6.41E-06
0.037,6.41E-06
0.038,6.40E-06
0.039,6.40E-06
0.04,6.40E-06
0.041,6.40E-06
0.042,6.40E-06
0.043,6.40E-06
0.044,6.40E-06
0.045,6.40E-06
0.046,6.40E-06
0.047,6.40E-06
0.048,6.40E-06
0.049,6.40E-06
0.05,6.40E-06
0.051,6.40E-06
0.052,6.40E-06
0.053,6.40E-06
0.054,6.40E-06
0.055,6.40E-06
0.056,6.40E-06
0.057,6.40E-06
0.058,6.40E-06
0.059,6.40E-06
0.06,6.40E-06
0.061,6.40E-06
0.062,6.40E-06
0.063,6.39E-06
0.064,6.39E-06
0.065,6.39E-06
0.066,6.39E-06
0.067,6.39E-06
0.068,6.39E-06
0.069,6.39E-06
0.07,6.39E-06
0.071,6.39E-06
0.072,6.39E-06
0.073,6.39E-06
0.074,6.39E-06
0.075,6.39E-06
0.076,6.39E-06
0.077,6.39E-06
0.078,6.39E-06
0.079,6.39E-06
0.08,6.39E-06
0.081,6.39E-06
0.082,6.39E-06
0.083,6.39E-06
0.084,6.39E-06
0.085,6.39E-06
0.086,6.39E-06
0.087,6.38E-06
0.088,6.38E-06
0.089,6.38E-06
0.09,6.38E-06
0.091,6.38E-06
0.092,6.38E-06
0.093,6.38E-06
0.094,6.38E-06
0.095,6.38E-06
0.096,6.38E-06
0.097,6.38E-06
0.098,6.38E-06
0.099,6.38E-06
0.1,6.38E-06
0.101,6.38E-06
0.102,6.38E-06
0.103,6.38E-06
0.104,6.38E-06
0.105,6.38E-06
0.106,6.38E-06
0.107,6.38E-06
0.108,6.38E-06
0.109,6.38E-06
0.11,6.38E-06
0.111,6.37E-06
0.112,6.37E-06
0.113,6.37E-06
0.114,6.37E-06
0.115,6.37E-06
0.116,6.37E-06
0.117,6.37E-06
0.118,6.37E-06
0.119,6.37E-06
