vin,amp,dt
0.15,0.6608182,0.41423264928550785
0.151,0.660678,0.4045493407795775
0.152,0.660539,0.4045493407795775
0.153,0.6604005,0.4045493407795775
0.154,0.6602626,0.4045493407795775
0.155,0.6601253,0.3996665282795775
0.156,0.6599885,0.3967368407795775
0.157,0.6598523,0.3928305907795775
0.158,0.6597166,0.3899009032795775
0.159,0.6595815,0.3859946532795775
0.16,0.659447,0.3899009032795775
0.161,0.6593129,0.3859946532795775
0.162,0.6591793,0.3820884032795775
0.163,0.6590463,0.3791587157795775
0.164,0.6589138,0.3772055907795775
0.165,0.6587818,0.3723227782795775
0.166,0.6586502,0.3684165282795775
0.167,0.6585191,0.3762290282795775
0.168,0.6583886,0.3732993407795775
0.169,0.6582584,0.3703696532795775
0.17,0.6581287,0.3684165282795775
0.171,0.6579995,0.3654868407795775
0.17200000000000001,0.6578707,0.3586509032795775
0.17300000000000001,0.6577424,0.3527915282795775
0.17400000000000002,0.6576145,0.3498618407795775
0.17500000000000002,0.657487,0.3508384032795775
0.176,0.65736,0.3527915282795775
0.177,0.6572332,0.3537680907795775
0.178,0.657107,0.3518149657795775
0.179,0.6569812,0.3498618407795775
0.18,0.6568557,0.3469321532795775
0.181,0.6567307,0.3459555907795775
0.182,0.656606,0.3430259032795775
0.183,0.6564816,0.3371665282795775
0.184,0.6563577,0.3303305907795775
0.185,0.6562341,0.3410727782795775
0.186,0.6561109,0.3361899657795775
0.187,0.6559881,0.3342368407795775
0.188,0.6558656,0.3283774657795775
0.189,0.6557435,0.3264243407795775
0.19,0.6556216,0.3205649657795775
0.191,0.6555002,0.3186118407795775
0.192,0.6553791,0.3166587157795775
0.193,0.6552582,0.3264243407795775
0.194,0.6551377,0.3195884032795775
0.195,0.6550176,0.3176352782795775
0.196,0.6548977,0.3176352782795775
0.197,0.6547782,0.3127524657795775
0.198,0.6546591,0.3156821532795775
0.199,0.6545402,0.3117759032795775
0.2,0.6544216,0.3098227782795775
0.201,0.6543033,0.3068930907795775
0.202,0.6541854,0.3049399657795775
0.203,0.6540676,0.3117759032795775
0.20400000000000001,0.6539503,0.2971274657795775
0.20500000000000002,0.6538332,0.2912680907795775
0.20600000000000002,0.6537163,0.3068930907795775
0.20700000000000002,0.6535998,0.2883384032795775
0.20800000000000002,0.6534835,0.2912680907795775
0.209,0.6533675,0.3020102782795775
0.21,0.6532518,0.2834555907795775
0.211,0.6531364,0.2854087157795775
0.212,0.6530212,0.2971274657795775
0.213,0.6529062,0.2951743407795775
0.214,0.6527915,0.2951743407795775
0.215,0.6526771,0.2932212157795775
0.216,0.6525629,0.2922446532795775
0.217,0.6524489,0.2766196532795775
0.218,0.6523352,0.2893149657795775
0.219,0.6522217,0.2756430907795775
0.22,0.6521084,0.2697837157795775
0.221,0.6519954,0.2697837157795775
0.222,0.6518826,0.2766196532795775
0.223,0.6517701,0.2785727782795775
0.224,0.6516577,0.2697837157795775
0.225,0.6515455,0.2678305907795775
0.226,0.6514336,0.2785727782795775
0.227,0.6513219,0.2775962157795775
0.228,0.6512104,0.2775962157795775
0.229,0.6510991,0.2658774657795775
0.23,0.650988,0.2649009032795775
0.231,0.6508771,0.2649009032795775
0.232,0.6507664,0.2551352782795775
0.233,0.6506559,0.2551352782795775
0.234,0.6505457,0.2541587157795775
0.23500000000000001,0.6504356,0.2531821532795775
0.23600000000000002,0.6503256,0.2522055907795775
0.23700000000000002,0.6502159,0.2522055907795775
0.23800000000000002,0.6501063,0.2492759032795775
0.23900000000000002,0.6499969,0.2482993407795775
0.24,0.6498877,0.2600180907795775
0.241,0.6497787,0.2590415282795775
0.242,0.6496699,0.2580649657795775
0.243,0.6495613,0.2502524657795775
0.244,0.6494529,0.2424399657795775
0.245,0.6493446,0.2561118407795775
0.246,0.6492365,0.2551352782795775
0.247,0.6491286,0.2561118407795775
0.248,0.6490209,0.2551352782795775
0.249,0.6489133,0.2541587157795775
0.25,0.6488058,0.2531821532795775
0.251,0.6486986,0.2522055907795775
0.252,0.6485915,0.2307212157795775
0.253,0.6484846,0.2385337157795775
0.254,0.6483778,0.2375571532795775
0.255,0.6482712,0.2385337157795775
0.256,0.6481647,0.2375571532795775
0.257,0.6480584,0.2365805907795775
0.258,0.6479523,0.2365805907795775
0.259,0.6478463,0.2356040282795775
0.26,0.6477404,0.2346274657795775
0.261,0.6476347,0.2336509032795775
0.262,0.6475291,0.2365805907795775
0.263,0.6474237,0.2356040282795775
0.264,0.6473184,0.2307212157795775
0.265,0.6472132,0.2297446532795775
0.266,0.6471082,0.2326743407795775
0.267,0.6470033,0.2316977782795775
0.268,0.646899,0.22880924902661226
0.269,0.6467966,0.22783268652661226
0.27,0.6466942,0.22685612402661226
0.271,0.6465921,0.22587956152661226
0.272,0.6464901,0.22783268652661226
0.273,0.6463882,0.22685612402661226
0.274,0.6462864,0.22783268652661226
0.275,0.6461849,0.22685612402661226
0.276,0.6460833,0.23076237402661226
0.277,0.645982,0.22587956152661226
0.278,0.6458807,0.23076237402661226
0.279,0.6457795,0.22880924902661226
0.28,0.6456785,0.20732487402661226
0.281,0.6455776,0.20634831152661226
0.28200000000000003,0.6454768,0.20634831152661226
0.28300000000000003,0.6453761,0.21025456152661226
0.28400000000000003,0.6452756,0.20439518652661226
0.28500000000000003,0.6451751,0.20634831152661226
0.28600000000000003,0.6450748,0.20341862402661226
0.28700000000000003,0.6449745,0.22392643652661226
0.28800000000000003,0.6448744,0.20439518652661226
0.289,0.6447744,0.19951237402661226
0.29,0.6446745,0.20439518652661226
0.291,0.6445747,0.19951237402661226
0.292,0.644475,0.20341862402661226
0.293,0.6443753,0.20048893652661226
0.294,0.6442758,0.20927799902661226
0.295,0.6441764,0.19365299902661226
0.296,0.6440771,0.20244206152661226
0.297,0.6439779,0.20439518652661226
0.298,0.6438788,0.21025456152661226
0.299,0.6437797,0.19853581152661226
0.3,0.6436808,0.19951237402661226
0.301,0.6435819,0.19169987402661226
0.302,0.6434833,0.19853581152661226
0.303,0.6433846,0.19755924902661226
0.304,0.6432862,0.19951237402661226
0.305,0.6431877,0.19365299902661226
0.306,0.6430894,0.19560612402661226
0.307,0.6429912,0.19267643652661226
0.308,0.6428931,0.19853581152661226
0.309,0.6427951,0.19658268652661226
0.31,0.6426972,0.19755924902661226
0.311,0.6425993,0.20341862402661226
0.312,0.6425017,0.18974674902661226
0.313,0.642404,0.19072331152661226
0.314,0.6423065,0.19462956152661226
0.315,0.6422091,0.20244206152661226
0.316,0.6421117,0.19951237402661226
0.317,0.6420144,0.20341862402661226
0.318,0.6419172,0.19853581152661226
0.319,0.6418201,0.20341862402661226
0.32,0.6417231,0.17705143652661226
0.321,0.6416262,0.18095768652661226
0.322,0.6415293,0.20146549902661226
0.323,0.6414325,0.19169987402661226
0.324,0.6413358,0.20048893652661226
0.325,0.6412393,0.18974674902661226
0.326,0.6411428,0.19951237402661226
0.327,0.6410463,0.17607487402661226
0.328,0.6409499,0.18388737402661226
0.329,0.6408536,0.18388737402661226
0.33,0.6407574,0.17119206152661226
0.331,0.6406613,0.17509831152661226
0.332,0.6405652,0.18584049902661226
0.333,0.6404692,0.18291081152661226
0.334,0.6403733,0.18486393652661226
0.335,0.6402774,0.18584049902661226
0.336,0.6401816,0.17021549902661226
0.337,0.6400859,0.17216862402661226
0.338,0.6399902,0.17216862402661226
0.339,0.6398947,0.17119206152661226
0.34,0.6397992,0.17119206152661226
0.341,0.6397037,0.18291081152661226
0.342,0.6396083,0.17021549902661226
0.343,0.639513,0.18193424902661226
0.34400000000000003,0.6394177,0.18291081152661226
0.34500000000000003,0.6393225,0.18486393652661226
0.34600000000000003,0.6392273,0.18193424902661226
0.34700000000000003,0.6391323,0.18388737402661226
0.34800000000000003,0.6390372,0.18681706152661226
0.34900000000000003,0.6389422,0.16142643652661226
0.35000000000000003,0.6388473,0.18681706152661226
0.35100000000000003,0.6387525,0.16044987402661226
0.352,0.6386576,0.16044987402661226
0.353,0.6385629,0.16240299902661226
0.354,0.6384682,0.15947331152661226
0.355,0.6383736,0.17900456152661226
0.356,0.638279,0.18095768652661226
0.357,0.6381844,0.15849674902661226
0.358,0.6380899,0.16240299902661226
0.359,0.6379955,0.16240299902661226
0.36,0.6379011,0.17900456152661226
0.361,0.6378068,0.17998112402661226
0.362,0.6377125,0.16240299902661226
0.363,0.6376182,0.17900456152661226
0.364,0.637524,0.17998112402661226
0.365,0.6374299,0.15459049902661226
0.366,0.6373358,0.16044987402661226
0.367,0.6372417,0.15361393652661226
0.368,0.6371477,0.15361393652661226
0.369,0.6370537,0.15947331152661226
0.37,0.6369598,0.15947331152661226
0.371,0.6368659,0.16044987402661226
0.372,0.636772,0.15361393652661226
0.373,0.6366782,0.15361393652661226
0.374,0.6365845,0.15752018652661226
0.375,0.6364908,0.15752018652661226
0.376,0.6363971,0.15849674902661226
0.377,0.6363034,0.15849674902661226
0.378,0.6362098,0.15752018652661226
0.379,0.6361162,0.15752018652661226
0.38,0.6360226,0.15752018652661226
0.381,0.6359291,0.15068424902661226
0.382,0.6358356,0.15459049902661226
0.383,0.6357422,0.15752018652661226
0.384,0.6356488,0.15947331152661226
0.385,0.6355554,0.15459049902661226
0.386,0.6354621,0.15459049902661226
0.387,0.6353688,0.15459049902661226
0.388,0.6352757,0.15947331152661226
0.389,0.6351824,0.17216862402661226
0.39,0.6350893,0.14287174902661226
0.391,0.6349963,0.14677799902661226
0.392,0.6349033,0.14677799902661226
0.393,0.6348103,0.15752018652661226
0.394,0.6347174,0.14580143652661226
0.395,0.6346245,0.14677799902661226
0.396,0.6345317,0.14677799902661226
0.397,0.6344389,0.15263737402661226
0.398,0.6343462,0.15752018652661226
0.399,0.6342535,0.14580143652661226
0.4,0.6341609,0.14580143652661226
0.401,0.6340683,0.15459049902661226
0.402,0.6339757,0.15556706152661226
0.403,0.6338832,0.15556706152661226
0.404,0.6337908,0.15654362402661226
0.405,0.6336983,0.15654362402661226
0.406,0.633606,0.15947331152661226
0.40700000000000003,0.6335136,0.13701237402661226
0.40800000000000003,0.6334212,0.14091862402661226
0.40900000000000003,0.633329,0.14287174902661226
0.41000000000000003,0.6332368,0.16240299902661226
0.41100000000000003,0.6331446,0.15459049902661226
0.41200000000000003,0.6330524,0.15849674902661226
0.41300000000000003,0.6329603,0.14287174902661226
0.41400000000000003,0.6328682,0.14482487402661226
0.41500000000000004,0.6327761,0.13603581152661226
0.41600000000000004,0.6326841,0.14189518652661226
0.417,0.6325921,0.14189518652661226
0.418,0.6325002,0.13505924902661226
0.419,0.6324083,0.13505924902661226
0.42,0.6323164,0.14091862402661226
0.421,0.6322246,0.14384831152661226
0.422,0.6321328,0.14580143652661226
0.423,0.632041,0.13408268652661226
0.424,0.6319492,0.13408268652661226
0.425,0.6318576,0.14287174902661226
0.426,0.6317658,0.14580143652661226
0.427,0.6316742,0.14873112402661226
0.428,0.6315826,0.14873112402661226
0.429,0.631491,0.14970768652661226
0.43,0.6313995,0.14970768652661226
0.431,0.6313079,0.15068424902661226
0.432,0.6312164,0.12919987402661226
0.433,0.6311249,0.12919987402661226
0.434,0.6310334,0.13115299902661226
0.435,0.630942,0.14775456152661226
0.436,0.6308506,0.14775456152661226
0.437,0.6307592,0.14873112402661226
0.438,0.6306679,0.14873112402661226
0.439,0.6305766,0.14970768652661226
0.44,0.6304852,0.13310612402661226
0.441,0.630394,0.14775456152661226
0.442,0.6303027,0.14873112402661226
0.443,0.6302115,0.15166081152661226
0.444,0.6301203,0.15263737402661226
0.445,0.6300291,0.15361393652661226
0.446,0.6299379,0.15361393652661226
0.447,0.6298468,0.12529362402661226
0.448,0.6297557,0.15263737402661226
0.449,0.6296645,0.15263737402661226
0.45,0.6295735,0.15361393652661226
0.451,0.6294824,0.15459049902661226
0.452,0.6293914,0.12431706152661226
0.453,0.6293004,0.13115299902661226
0.454,0.6292093,0.13115299902661226
0.455,0.6291184,0.13115299902661226
0.456,0.6290274,0.13212956152661226
0.457,0.6289365,0.13212956152661226
0.458,0.6288455,0.14580143652661226
0.459,0.6287546,0.14970768652661226
